handle,title,style,material,face_shapes,use_cases,vibes,lens_types,tags
roseglass-drift-1990s-brendel-sunglasses,“Roseglass Drift” 1990s Brendel Sunglasses,rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",tinted,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted"
cinematic-edge-1990s-bellagio-sunglasses,“Cinematic Edge” 1990s Bellagio Sunglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","tinted, geometric","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:tinted, lens:geometric"
dual-horizon-1980s-john-sterling-sunglasses,“Dual Horizon” 1980s John Sterling Sunglasses,aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
crystal-block-2000s-cutler-gross-eyeglasses,“Crystal Block” 2000s Cutler & Gross Eyeglasses,rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted, butterfly","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:butterfly"
paisley-curve-1990s-nouvelle-vague-eyeglasses,“Paisley Curve” 1990s Nouvelle Vague Eyeglasses,oval,acetate,,,"retro, luxury, modern","rx, tinted","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
dual-horizon-1990s-ysl-eyeglasses,“Dual Horizon” 1990s YSL Eyeglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, geometric","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:geometric"
scaled-scholar-1990s-giorgio-armani-eyeglasses,“Scaled Scholar” 1990s Giorgio Armani Eyeglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted, shield","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:shield"
black-horizon-1990s-dior-eyeglasses,“Black Horizon” 1990s Dior Eyeglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
golden-unibrow-1990s-dior-eyeglasses,“Golden Unibrow” 1990s Dior Eyeglasses,oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
gilded-geometry-1980s-dior-eyeglasses,“Gilded Geometry” 1980s Dior Eyeglasses,square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted, geometric","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:geometric"
golden-whisper-1980s-dior-eyeglasses,“Golden Whisper” 1980s Dior Eyeglasses,oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
amber-lineage-1980s-silhouette-eyeglasses,“Amber Lineage” 1980s Silhouette Eyeglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
arc-muse-1980s-dior-eyeglasses,“Arc Muse” 1980s Dior Eyeglasses,cat_eye,wire,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern","rx, tinted","style:cat_eye, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:tinted"
amber-lineage-1980s-dior-eyeglasses,“Amber Lineage” 1980s Dior Eyeglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted, geometric","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:geometric"
gilded-whisper-1980s-diva-eyeglasses,“Gilded Whisper” 1980s Diva Eyeglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
caramel-depth-1980s-zeiss-eyeglasses,“Caramel Depth” 1980s Zeiss Eyeglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
golden-horizon-1980s-luigi-colani-eyeglasses,“Golden Horizon” 1980s Luigi Colani Eyeglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
actress-mode-1980s-sophia-loren-glasses,"""Actress Mode"" 1980s Sophia Loren Glasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
burnt-honey-1980s-diplomat-sunglasses,"""Burnt Honey"" 1980s Diplomat Sunglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
boxer-briefs-1990s-calvin-klein-sunglasses,"""Boxer Briefs"" 1990s Calvin Klein Sunglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern",tinted,"style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:tinted"
honeyline-geometry-1980s-silhouette-eyeglasses,“Honeyline Geometry” 1980s Silhouette Eyeglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted, geometric","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:geometric"
amber-sculpt-1980s-silhouette-eyeglasses,“Amber Sculpt” 1980s Silhouette Eyeglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
golden-contour-1970s-christian-dior-eyeglasses,“Golden Contour” 1970s Christian Dior Eyeglasses,square,wire,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted","style:square, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
verdant-lineage-1990s-eyeglasses,“Verdant Lineage” 1990s  Selima Optique Eyeglasses,rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, modern","rx, tinted","style:rectangle, material:wire, vibe:retro, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
blue-mirage-1990s-metal-vista-sunglasses,“Blue Mirage” 1990s Metal Vista Sunglasses,round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",tinted,"style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
gilded-reverie-1990s-mariella-burani-sunglasses,“Gilded Reverie” 1990s Mariella Burani Sunglasses,round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",tinted,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
golden-lineage-1980s-roy-tower-eyeglasses,“Golden Lineage” 1980s Roy Tower Eyeglasses,aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
amber-architect-1980s-anacole-eyeglasses,“Amber Architect” 1980s Anacolé Eyeglasses,rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
golden-reverie-1980s-christian-lacroix-sunglasses,“Golden Reverie” 1980s Christian Lacroix Sunglasses,round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern",tinted,"style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:tinted"
amber-crest-1980s-martin-eyeglasses,“Amber Crest” 1980s Martin Eyeglasses,square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted, butterfly, geometric","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:butterfly, lens:geometric"
honeycut-wrap-1960s-optyl-sunglasses,“Honeycut Wrap” 1960s Optyl Sunglasses,oval,acetate,,,"retro, luxury, modern",shield,"style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:shield"
starlight-cat-eye-1960s-bedazzled-sunglasses,“Starlight Cat-Eye” 1960s Bedazzled Sunglasses,cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, modern, classic",,"style:cat_eye, material:acetate, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
pop-masquerade-1960s-urbani-sunglasses,“Pop Masquerade” 1960s Urbani Sunglasses,cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern",,"style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual"
eloquent-1980s-ellen-tracy,"""Eloquent"" 1980s Ellen Tracy Eyeglasses",oval,acetate,,,"retro, luxury, modern","rx, tinted","style:oval, material:acetate, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
softness-1980s-sro-usa,"""Softness"" 1980s SRO USA Eyeglasses",square,acetate,"oval, round","night, going_out, casual, at_desk","retro, luxury, modern","rx, tinted, butterfly","style:square, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:oval, face_shape:round, use_case:night, use_case:going_out, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:butterfly"
silver-air-1960s-wire-eyeglasses,"""Silver Air"" 1960s Wire Eyeglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, modern, classic","rx, tinted","style:round, material:wire, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
mahogany-marble-1990s-giorgio-armani-eyeglasses,"""Mahogany Marble"" 1990s Giorgio Armani Eyeglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern",rx,"style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx"
green-noir-1990s-coco-katchina-eyeglasses,"""Green Noir"" 1990s Coco Katchina Eyeglasses",rectangle,acetate,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted, geometric","style:rectangle, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:geometric"
pearl-metro-1990s-la-eyeworks-eyeglasses,"""Pearl Metro"" 1990s LA Eyeworks Eyeglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted, geometric","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:geometric"
hazel-weave-1990s-la-eyeworks-eyeglasses,"""Hazel Weave"" 1990s LA Eyeworks Eyeglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted, shield, butterfly","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted, lens:shield, lens:butterfly"
1990s-rapp-eyeglasses,"""Bordeaux Dual"" 1990s Rapp Eyeglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
jet-stream-1990s-nike-eyeglasses,"""Jet Stream"" 1990s Nike Eyeglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted, shield","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted, lens:shield"
bronze-aviator-1990s-hugo-boss-eyeglasses,"""Bronze Aviator"" 1990s Hugo Boss Eyeglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
cobalt-trim-1990s-giorgio-armani-eyeglasses,"""Cobalt Trim"" 1990s Giorgio Armani Eyeglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
graphite-precision-1990s-porsche-design-eyeglasses,"""Graphite Precision"" 1990s Porsche Design Eyeglasses",rectangle,wire,"heart, oval, round, diamond","day, going_out, casual, sport, at_desk","retro, luxury, modern","rx, tinted","style:rectangle, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, use_case:at_desk, lens:rx, lens:tinted"
bronze-oval-1990s-jones-new-york-eyeglasses,"""Bronze Oval"" 1990s Jones New York Eyeglasses",oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
golden-round-1990s-fossil-eyeglasses,"""Golden Round"" 1990s Fossil Eyeglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
marbled-ocean-1990s-emporio-armani-eyeglasses,"""Marbled Ocean"" 1990s Emporio Armani Eyeglasses",round,acetate,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted","style:round, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
steel-rectangle-1980s-neostyle-eyeglasses,"""Steel Rectangle"" 1980s Neostyle Eyeglasses",oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
1980s-gold-wire-eyeglasses,"""Golden Aviator"" 1980s Eyeglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, modern, classic","rx, tinted","style:aviator, material:wire, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
brushed-gold-1980s-aviator-eyeglasses,"""Brushed Gold"" 1980s Aviator Eyeglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, modern, classic","rx, tinted","style:aviator, material:wire, vibe:retro, vibe:modern, vibe:classic, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted"
antique-round-1980s-monty-eyeglasses,"""Antique Round"" 1980s Monty Eyeglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
1980s-alps-eyeglasses,"""Amber Aviator"" 1980s Alps Eyeglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, butterfly","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:butterfly"
silver-scholar-1980s-ralph-lauren-eyeglasses,"""Silver Scholar"" 1980s Ralph Lauren Eyeglasses",round,wire,"heart, square, diamond","night, casual, at_desk","retro, luxury, modern","rx, tinted","style:round, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:square, face_shape:diamond, use_case:night, use_case:casual, use_case:at_desk, lens:rx, lens:tinted"
amber-flame-1980s-norris-bloc-eyeglasses,"""Amber Flame"" 1980s Norris Bloc Eyeglasses",cat_eye,acetate,"heart, oval, round, square, diamond","day, going_out, casual","retro, luxury, modern","rx, tinted, geometric","style:cat_eye, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:round, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, lens:rx, lens:tinted, lens:geometric"
1980s-eagle-eyes-knicks-eyeglasses,"""Neon Split"" 1980s Eagle Eye Eyeglasses",,wire,,,"retro, luxury, modern","rx, tinted","material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
golden-oval-1980s-sergio-tacchini-eyeglasses,"""Golden Oval"" 1980s Sergio Tacchini Eyeglasses",oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
1970s-luxottica-klixx-2-eyeglasses,"""Watercolor Aviator"" 1970s Luxottica Eyeglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, butterfly","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:butterfly"
marbled-slate-1970s-oakley-eyeglasses,"""Marbled Slate"" 1970s Oakley Eyeglasses",aviator,acetate,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, butterfly","style:aviator, material:acetate, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:butterfly"
silver-box-1970s-polaroid-eyeglasses,"""Silver Box"" 1970s Polaroid Eyeglasses",aviator,wire,"heart, oval, square, diamond","day, going_out, casual, sport","retro, luxury, modern","rx, tinted, butterfly","style:aviator, material:wire, vibe:retro, vibe:luxury, vibe:modern, face_shape:heart, face_shape:oval, face_shape:square, face_shape:diamond, use_case:day, use_case:going_out, use_case:casual, use_case:sport, lens:rx, lens:tinted, lens:butterfly"
silhouette-cut-out-1990s-seiko-eyeglasses,"""Silhouette Cut-Out"" 1990s Seiko Eyeglasses",oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
plum-oval-1990s-saki-eyeglasses,"""Plum Oval"" 1990s Saki Eyeglasses",oval,wire,,,"retro, luxury, modern","rx, tinted","style:oval, material:wire, vibe:retro, vibe:luxury, vibe:modern, lens:rx, lens:tinted"
